Round Number,Player's Choice,Computer's Choice,Result
2,paper,scissors,computer
3,rock,paper,computer
4,scissors,paper,player
5,scissors,scissors,tie
6,paper,scissors,computer
7,rock,rock,tie
8,rock,rock,tie
9,paper,paper,tie
10,paper,rock,player
11,rock,paper,computer
12,scissors,rock,computer
13,paper,rock,player
14,paper,paper,tie
15,paper,paper,tie
16,rock,paper,computer
17,scissors,rock,computer
18,scissors,rock,computer
19,paper,scissors,computer
20,rock,paper,computer
21,rock,rock,tie
22,paper,scissors,computer
23,rock,scissors,player
24,scissors,rock,computer
25,rock,rock,tie
26,paper,scissors,computer
27,rock,scissors,player
28,scissors,rock,computer
29,paper,rock,player
30,rock,paper,computer
31,paper,rock,player
32,rock,paper,computer
33,paper,rock,player
34,rock,paper,computer
35,paper,rock,player
36,paper,paper,tie
37,rock,paper,computer
38,scissors,rock,computer
39,rock,rock,tie
40,paper,scissors,computer
