Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,rock,player
4,scissors,rock,computer
5,rock,paper,computer
6,paper,rock,player
7,paper,rock,player
8,paper,rock,player
9,paper,scissors,computer
10,rock,scissors,player
11,rock,scissors,player
12,rock,rock,tie
13,scissors,paper,player
14,scissors,scissors,tie
15,rock,rock,tie
16,paper,scissors,computer
17,rock,rock,tie
18,rock,paper,computer
19,scissors,paper,player
20,scissors,rock,computer
21,paper,paper,tie
22,paper,paper,tie
23,rock,scissors,player
24,scissors,paper,player
25,paper,rock,player
26,rock,scissors,player
27,scissors,paper,player
28,paper,rock,player
29,rock,scissors,player
30,scissors,paper,player
31,paper,rock,player
32,rock,paper,computer
33,scissors,rock,computer
34,paper,scissors,computer
35,paper,paper,tie
36,paper,scissors,computer
37,rock,scissors,player
38,scissors,rock,computer
39,paper,scissors,computer
40,rock,paper,computer
41,scissors,rock,computer
42,paper,scissors,computer
43,rock,paper,computer
44,scissors,rock,computer
45,paper,scissors,computer
46,rock,paper,computer
47,scissors,rock,computer
