Round Number,Player's Choice,Computer's Choice,Result
1,rock,paper,computer
2,paper,rock,player
3,scissors,scissors,tie
4,rock,rock,tie
5,paper,rock,player
6,scissors,rock,computer
7,rock,paper,computer
8,scissors,scissors,tie
9,rock,rock,tie
10,rock,scissors,player
11,paper,rock,player
12,rock,rock,tie
13,rock,paper,computer
14,paper,scissors,computer
15,rock,rock,tie
16,scissors,paper,player
17,scissors,paper,player
18,scissors,rock,computer
19,rock,rock,tie
20,paper,scissors,computer
21,rock,rock,tie
22,scissors,paper,player
23,scissors,paper,player
24,scissors,rock,computer
25,rock,rock,tie
26,rock,scissors,player
27,paper,scissors,computer
28,rock,paper,computer
29,scissors,rock,computer
30,rock,rock,tie
31,paper,scissors,computer
32,scissors,paper,player
33,rock,paper,computer
34,paper,scissors,computer
35,rock,paper,computer
36,scissors,rock,computer
37,rock,paper,computer
38,scissors,scissors,tie
39,rock,paper,computer
40,rock,scissors,player
41,rock,scissors,player
42,rock,scissors,player
43,paper,scissors,computer
44,rock,paper,computer
45,scissors,rock,computer
46,rock,paper,computer
47,rock,scissors,player
48,rock,scissors,player
49,rock,scissors,player
50,rock,scissors,player
51,rock,paper,computer
52,scissors,paper,player
53,rock,paper,computer
54,scissors,scissors,tie
55,rock,paper,computer
56,scissors,scissors,tie
57,rock,paper,computer
58,scissors,scissors,tie
59,paper,paper,tie
60,scissors,rock,computer
61,rock,paper,computer
62,rock,rock,tie
63,scissors,paper,player
64,scissors,paper,player
65,scissors,rock,computer
66,paper,rock,player
67,scissors,rock,computer
68,rock,paper,computer
69,rock,rock,tie
70,rock,paper,computer
71,scissors,paper,player
72,scissors,paper,player
73,scissors,rock,computer
74,paper,rock,player
75,paper,rock,player
76,paper,rock,player
77,paper,scissors,computer
78,rock,scissors,player
79,rock,rock,tie
80,scissors,paper,player
81,rock,paper,computer
82,rock,paper,computer
83,scissors,paper,player
84,scissors,paper,player
85,paper,rock,player
86,rock,rock,tie
87,paper,rock,player
88,paper,paper,tie
89,scissors,scissors,tie
90,rock,paper,computer
91,scissors,paper,player
92,rock,paper,computer
93,paper,paper,tie
94,scissors,paper,player
95,scissors,paper,player
96,scissors,rock,computer
97,rock,rock,tie
98,paper,paper,tie
99,rock,paper,computer
100,scissors,rock,computer
101,scissors,paper,player
102,rock,rock,tie
103,scissors,paper,player
104,scissors,paper,player
105,scissors,rock,computer
106,paper,rock,player
107,paper,rock,player
108,rock,scissors,player
109,rock,rock,tie
110,rock,paper,computer
111,scissors,paper,player
112,scissors,paper,player
113,paper,rock,player
114,rock,rock,tie
115,scissors,rock,computer
116,paper,paper,tie
117,scissors,rock,computer
