Round Number,Player's Choice,Computer's Choice,Result
2,paper,rock,player
3,rock,rock,tie
4,rock,rock,tie
5,scissors,paper,player
6,paper,scissors,computer
7,rock,rock,tie
8,rock,paper,computer
9,scissors,rock,computer
10,paper,scissors,computer
11,paper,paper,tie
12,rock,scissors,player
13,scissors,paper,player
14,scissors,scissors,tie
15,paper,rock,player
16,rock,paper,computer
17,scissors,paper,player
18,paper,scissors,computer
19,rock,paper,computer
20,scissors,paper,player
21,paper,scissors,computer
22,rock,paper,computer
23,scissors,rock,computer
24,paper,scissors,computer
25,scissors,paper,player
26,scissors,rock,computer
27,paper,scissors,computer
28,rock,paper,computer
29,rock,rock,tie
30,paper,rock,player
31,paper,scissors,computer
32,rock,paper,computer
33,scissors,rock,computer
34,paper,scissors,computer
35,rock,paper,computer
36,scissors,rock,computer
