Round Number,Player's Choice,Computer's Choice,Result
2,paper,paper,tie
3,rock,rock,tie
4,rock,rock,tie
5,paper,paper,tie
6,rock,paper,computer
7,scissors,paper,player
8,scissors,paper,player
9,scissors,scissors,tie
10,paper,rock,player
11,paper,scissors,computer
12,rock,paper,computer
13,rock,paper,computer
14,scissors,scissors,tie
15,scissors,rock,computer
16,rock,rock,tie
17,rock,paper,computer
18,scissors,scissors,tie
19,rock,rock,tie
20,paper,paper,tie
21,rock,paper,computer
22,scissors,paper,player
23,paper,rock,player
24,rock,scissors,player
25,scissors,paper,player
26,paper,rock,player
27,rock,scissors,player
28,rock,rock,tie
29,paper,rock,player
30,scissors,paper,player
31,rock,rock,tie
32,rock,paper,computer
33,scissors,scissors,tie
34,paper,rock,player
35,rock,paper,computer
36,scissors,paper,player
37,rock,scissors,player
38,paper,paper,tie
39,rock,paper,computer
40,scissors,rock,computer
41,paper,scissors,computer
42,rock,paper,computer
43,rock,rock,tie
44,rock,rock,tie
45,paper,rock,player
46,rock,paper,computer
47,scissors,rock,computer
48,scissors,scissors,tie
49,scissors,rock,computer
50,paper,rock,player
51,rock,paper,computer
52,scissors,rock,computer
53,rock,scissors,player
54,rock,paper,computer
55,scissors,scissors,tie
56,paper,scissors,computer
