Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,rock,player
4,scissors,rock,computer
5,paper,rock,player
6,paper,rock,player
7,paper,rock,player
8,paper,scissors,computer
9,rock,scissors,player
10,scissors,rock,computer
11,paper,rock,player
12,paper,scissors,computer
13,paper,scissors,computer
14,rock,scissors,player
15,rock,rock,tie
16,rock,paper,computer
17,scissors,paper,player
18,paper,scissors,computer
19,rock,scissors,player
20,rock,rock,tie
21,scissors,paper,player
22,rock,scissors,player
23,rock,rock,tie
24,paper,rock,player
25,paper,rock,player
26,paper,scissors,computer
27,rock,scissors,player
28,paper,paper,tie
29,paper,rock,player
30,rock,scissors,player
31,rock,paper,computer
32,paper,rock,player
33,paper,scissors,computer
34,rock,scissors,player
35,rock,paper,computer
36,scissors,rock,computer
37,paper,scissors,computer
38,rock,scissors,player
39,rock,paper,computer
40,scissors,rock,computer
41,scissors,scissors,tie
42,paper,scissors,computer
43,rock,scissors,player
44,rock,paper,computer
45,scissors,rock,computer
46,paper,scissors,computer
47,paper,paper,tie
48,rock,paper,computer
49,rock,paper,computer
50,scissors,rock,computer
51,paper,scissors,computer
52,scissors,scissors,tie
53,rock,scissors,player
54,rock,paper,computer
55,scissors,rock,computer
