Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,rock,paper,computer
4,rock,paper,computer
5,scissors,paper,player
6,scissors,scissors,tie
7,paper,paper,tie
8,scissors,paper,player
9,scissors,paper,player
10,rock,scissors,player
11,rock,paper,computer
12,scissors,paper,player
13,scissors,rock,computer
14,rock,scissors,player
15,rock,paper,computer
16,scissors,rock,computer
17,paper,rock,player
18,rock,rock,tie
19,rock,rock,tie
20,paper,rock,player
21,paper,rock,player
22,paper,scissors,computer
23,rock,scissors,player
24,rock,paper,computer
25,scissors,rock,computer
26,rock,rock,tie
27,scissors,paper,player
28,rock,rock,tie
29,paper,paper,tie
30,paper,scissors,computer
31,rock,scissors,player
32,rock,paper,computer
33,scissors,rock,computer
34,rock,rock,tie
35,rock,paper,computer
36,scissors,rock,computer
37,scissors,paper,player
38,scissors,paper,player
39,scissors,paper,player
40,paper,paper,tie
41,rock,rock,tie
42,scissors,paper,player
43,paper,rock,player
44,rock,paper,computer
45,scissors,paper,player
46,paper,rock,player
