Round Number,Player's Choice,Computer's Choice,Result
2,rock,paper,computer
3,scissors,paper,player
4,paper,paper,tie
5,rock,paper,computer
6,scissors,paper,player
7,scissors,scissors,tie
8,paper,scissors,computer
9,rock,paper,computer
10,rock,rock,tie
11,paper,rock,player
12,rock,scissors,player
13,rock,rock,tie
14,rock,scissors,player
15,paper,scissors,computer
16,scissors,paper,player
17,scissors,scissors,tie
18,rock,scissors,player
19,rock,scissors,player
20,rock,scissors,player
21,rock,scissors,player
22,rock,paper,computer
23,scissors,paper,player
24,scissors,scissors,tie
25,scissors,scissors,tie
26,rock,scissors,player
27,rock,paper,computer
28,scissors,paper,player
29,paper,rock,player
30,rock,paper,computer
31,scissors,paper,player
32,scissors,scissors,tie
33,scissors,paper,player
34,scissors,paper,player
35,scissors,rock,computer
36,rock,rock,tie
37,paper,paper,tie
38,paper,paper,tie
39,scissors,scissors,tie
40,paper,rock,player
41,rock,paper,computer
42,scissors,rock,computer
43,paper,rock,player
44,rock,paper,computer
45,scissors,rock,computer
46,paper,scissors,computer
47,rock,paper,computer
48,rock,rock,tie
49,paper,paper,tie
50,rock,paper,computer
51,scissors,rock,computer
52,scissors,scissors,tie
53,rock,rock,tie
54,paper,paper,tie
55,rock,paper,computer
56,scissors,rock,computer
57,rock,scissors,player
58,rock,paper,computer
59,scissors,paper,player
60,rock,scissors,player
61,paper,paper,tie
62,rock,paper,computer
63,scissors,rock,computer
64,paper,scissors,computer
65,rock,paper,computer
66,scissors,rock,computer
