Round Number,Player's Choice,Computer's Choice,Result
2,scissors,paper,player
3,paper,paper,tie
4,paper,rock,player
5,rock,paper,computer
6,scissors,paper,player
7,scissors,paper,player
8,scissors,paper,player
9,scissors,rock,computer
10,paper,rock,player
11,paper,scissors,computer
12,scissors,paper,player
13,scissors,scissors,tie
14,rock,rock,tie
15,paper,rock,player
16,scissors,rock,computer
17,paper,rock,player
18,rock,scissors,player
19,scissors,rock,computer
20,paper,rock,player
21,paper,scissors,computer
22,rock,paper,computer
23,scissors,rock,computer
24,paper,rock,player
25,rock,scissors,player
26,paper,rock,player
27,rock,rock,tie
28,scissors,rock,computer
29,rock,scissors,player
30,rock,scissors,player
31,rock,scissors,player
32,rock,paper,computer
33,scissors,paper,player
34,rock,scissors,player
35,paper,scissors,computer
36,rock,rock,tie
37,rock,rock,tie
38,paper,paper,tie
39,rock,paper,computer
40,scissors,rock,computer
41,paper,scissors,computer
42,paper,scissors,computer
43,rock,paper,computer
44,scissors,rock,computer
45,paper,scissors,computer
46,rock,scissors,player
