Round Number,Player's Choice,Computer's Choice,Result
2,rock,paper,computer
3,rock,paper,computer
4,paper,paper,tie
5,rock,paper,computer
6,scissors,paper,player
7,scissors,rock,computer
8,rock,paper,computer
9,paper,paper,tie
10,scissors,paper,player
11,scissors,paper,player
12,scissors,paper,player
13,rock,paper,computer
14,paper,scissors,computer
15,paper,paper,tie
16,rock,paper,computer
17,scissors,rock,computer
18,paper,rock,player
19,paper,rock,player
20,paper,paper,tie
21,rock,paper,computer
22,scissors,rock,computer
23,paper,rock,player
24,paper,scissors,computer
25,rock,paper,computer
26,scissors,rock,computer
27,rock,scissors,player
28,rock,scissors,player
29,rock,scissors,player
30,rock,scissors,player
31,scissors,paper,player
32,rock,scissors,player
33,scissors,scissors,tie
34,rock,scissors,player
35,rock,scissors,player
36,rock,paper,computer
37,paper,paper,tie
38,rock,paper,computer
39,paper,rock,player
40,paper,paper,tie
41,rock,paper,computer
42,scissors,rock,computer
43,rock,paper,computer
44,paper,scissors,computer
