Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,scissors,computer
4,rock,scissors,player
5,scissors,rock,computer
6,paper,rock,player
7,paper,rock,player
8,paper,paper,tie
9,rock,scissors,player
10,rock,rock,tie
11,rock,rock,tie
12,paper,paper,tie
13,rock,paper,computer
14,rock,rock,tie
15,paper,paper,tie
16,rock,paper,computer
17,scissors,paper,player
18,scissors,scissors,tie
19,rock,rock,tie
20,paper,scissors,computer
21,rock,paper,computer
22,scissors,rock,computer
23,scissors,scissors,tie
24,scissors,paper,player
25,scissors,paper,player
26,scissors,rock,computer
27,paper,rock,player
28,paper,scissors,computer
29,rock,scissors,player
30,rock,rock,tie
31,paper,scissors,computer
32,rock,paper,computer
33,scissors,rock,computer
34,rock,rock,tie
35,scissors,scissors,tie
36,rock,rock,tie
37,paper,scissors,computer
38,rock,paper,computer
39,scissors,rock,computer
40,scissors,rock,computer
41,paper,rock,player
42,paper,scissors,computer
43,rock,paper,computer
44,scissors,rock,computer
45,paper,rock,player
46,paper,scissors,computer
47,rock,paper,computer
48,scissors,rock,computer
49,rock,rock,tie
50,rock,scissors,player
51,rock,scissors,player
52,rock,scissors,player
53,rock,paper,computer
54,scissors,paper,player
55,scissors,rock,computer
56,rock,rock,tie
57,paper,scissors,computer
