Round Number,Player's Choice,Computer's Choice,Result
1,paper,paper,tie
2,scissors,scissors,tie
3,rock,rock,tie
4,scissors,paper,player
5,rock,rock,tie
6,rock,rock,tie
7,paper,scissors,computer
8,rock,scissors,player
9,rock,rock,tie
10,scissors,scissors,tie
11,paper,paper,tie
12,rock,paper,computer
13,scissors,paper,player
14,rock,paper,computer
15,scissors,rock,computer
16,rock,paper,computer
17,paper,rock,player
18,rock,paper,computer
19,paper,paper,tie
20,scissors,paper,player
21,scissors,paper,player
22,scissors,paper,player
23,scissors,rock,computer
24,rock,rock,tie
25,paper,rock,player
26,paper,paper,tie
27,scissors,rock,computer
28,rock,paper,computer
29,paper,rock,player
30,paper,paper,tie
31,rock,rock,tie
32,rock,paper,computer
33,scissors,scissors,tie
34,paper,paper,tie
35,paper,paper,tie
36,scissors,rock,computer
37,rock,paper,computer
38,scissors,scissors,tie
39,paper,paper,tie
40,paper,paper,tie
41,rock,rock,tie
42,scissors,paper,player
43,scissors,paper,player
44,rock,rock,tie
45,paper,rock,player
46,scissors,paper,player
47,rock,paper,computer
48,scissors,scissors,tie
49,rock,paper,computer
50,paper,rock,player
51,paper,paper,tie
52,rock,rock,tie
53,rock,paper,computer
54,scissors,rock,computer
55,paper,paper,tie
56,scissors,scissors,tie
57,scissors,paper,player
58,rock,rock,tie
59,paper,scissors,computer
60,rock,scissors,player
61,scissors,paper,player
62,scissors,paper,player
63,scissors,paper,player
64,rock,rock,tie
65,rock,scissors,player
66,scissors,rock,computer
67,paper,paper,tie
68,rock,scissors,player
69,scissors,paper,player
70,rock,scissors,player
71,paper,scissors,computer
72,scissors,paper,player
73,rock,paper,computer
74,rock,scissors,player
75,paper,rock,player
76,rock,paper,computer
77,scissors,rock,computer
78,rock,paper,computer
79,rock,scissors,player
80,scissors,rock,computer
81,scissors,paper,player
82,rock,paper,computer
83,rock,scissors,player
84,rock,rock,tie
85,paper,rock,player
86,scissors,paper,player
87,rock,paper,computer
88,scissors,scissors,tie
89,paper,paper,tie
90,scissors,paper,player
91,rock,paper,computer
92,scissors,scissors,tie
93,paper,paper,tie
94,scissors,paper,player
95,rock,paper,computer
96,paper,scissors,computer
97,rock,paper,computer
98,scissors,rock,computer
99,rock,scissors,player
100,paper,scissors,computer
101,rock,paper,computer
102,scissors,rock,computer
103,rock,paper,computer
104,scissors,scissors,tie
105,paper,paper,tie
106,rock,rock,tie
107,paper,rock,player
108,scissors,paper,player
109,rock,paper,computer
110,scissors,scissors,tie
111,rock,paper,computer
112,rock,scissors,player
113,paper,rock,player
114,scissors,paper,player
115,rock,paper,computer
116,scissors,scissors,tie
117,rock,paper,computer
118,rock,rock,tie
119,scissors,rock,computer
120,paper,paper,tie
121,scissors,paper,player
122,rock,paper,computer
123,rock,rock,tie
124,paper,rock,player
125,rock,paper,computer
126,scissors,rock,computer
127,paper,paper,tie
128,scissors,rock,computer
129,rock,paper,computer
