Round Number,Player's Choice,Computer's Choice,Result
1,rock,paper,computer
2,paper,paper,tie
3,rock,paper,computer
4,paper,scissors,computer
5,scissors,paper,player
6,rock,rock,tie
7,paper,scissors,computer
8,paper,paper,tie
9,paper,paper,tie
10,scissors,scissors,tie
11,scissors,paper,player
12,rock,rock,tie
13,paper,scissors,computer
14,scissors,paper,player
15,scissors,paper,player
16,scissors,paper,player
17,paper,paper,tie
18,scissors,paper,player
19,scissors,rock,computer
20,rock,paper,computer
21,scissors,scissors,tie
22,rock,rock,tie
23,scissors,scissors,tie
24,paper,paper,tie
25,scissors,rock,computer
26,rock,rock,tie
27,paper,scissors,computer
28,rock,rock,tie
29,rock,scissors,player
30,scissors,rock,computer
31,paper,paper,tie
32,scissors,rock,computer
33,rock,rock,tie
34,rock,scissors,player
35,paper,rock,player
36,scissors,paper,player
37,rock,paper,computer
38,paper,scissors,computer
39,scissors,rock,computer
40,rock,paper,computer
41,paper,scissors,computer
42,scissors,rock,computer
43,paper,paper,tie
44,rock,rock,tie
45,scissors,scissors,tie
46,rock,scissors,player
47,scissors,scissors,tie
48,rock,paper,computer
49,scissors,scissors,tie
50,rock,paper,computer
51,scissors,scissors,tie
52,scissors,paper,player
53,paper,paper,tie
54,scissors,rock,computer
55,rock,paper,computer
56,paper,scissors,computer
57,paper,rock,player
58,paper,scissors,computer
59,scissors,scissors,tie
60,scissors,paper,player
61,scissors,paper,player
62,scissors,paper,player
63,paper,rock,player
64,rock,rock,tie
65,paper,scissors,computer
66,scissors,rock,computer
67,scissors,paper,player
68,scissors,rock,computer
69,scissors,rock,computer
70,paper,rock,player
71,paper,rock,player
72,paper,scissors,computer
73,rock,scissors,player
74,rock,scissors,player
75,paper,rock,player
76,paper,rock,player
77,rock,scissors,player
78,rock,scissors,player
79,scissors,scissors,tie
80,rock,paper,computer
81,scissors,scissors,tie
82,rock,paper,computer
83,scissors,scissors,tie
84,rock,paper,computer
85,scissors,rock,computer
86,paper,paper,tie
87,paper,rock,player
88,scissors,scissors,tie
89,rock,paper,computer
90,scissors,rock,computer
91,paper,paper,tie
92,scissors,rock,computer
93,scissors,paper,player
94,scissors,rock,computer
95,rock,rock,tie
96,rock,rock,tie
97,rock,rock,tie
98,paper,rock,player
99,paper,rock,player
100,paper,scissors,computer
101,rock,scissors,player
102,rock,paper,computer
103,paper,scissors,computer
104,scissors,rock,computer
105,scissors,paper,player
106,rock,rock,tie
107,paper,rock,player
108,scissors,rock,computer
109,rock,paper,computer
110,paper,rock,player
111,paper,rock,player
112,scissors,scissors,tie
113,rock,paper,computer
114,scissors,rock,computer
115,paper,paper,tie
116,scissors,rock,computer
