Round Number,Player's Choice,Computer's Choice,Result
2,rock,paper,computer
3,scissors,rock,computer
4,rock,scissors,player
5,paper,scissors,computer
6,rock,rock,tie
7,scissors,rock,computer
8,paper,paper,tie
9,paper,paper,tie
10,scissors,paper,player
11,scissors,rock,computer
12,rock,paper,computer
13,scissors,scissors,tie
14,rock,paper,computer
15,scissors,scissors,tie
16,scissors,paper,player
17,scissors,paper,player
18,scissors,paper,player
19,scissors,rock,computer
20,paper,rock,player
21,paper,scissors,computer
22,rock,rock,tie
23,rock,rock,tie
24,paper,rock,player
25,paper,paper,tie
26,rock,rock,tie
27,scissors,rock,computer
28,paper,paper,tie
29,rock,scissors,player
30,rock,rock,tie
31,rock,scissors,player
32,rock,scissors,player
33,rock,paper,computer
34,scissors,paper,player
35,scissors,paper,player
36,scissors,rock,computer
37,rock,rock,tie
38,paper,rock,player
39,paper,paper,tie
40,scissors,paper,player
41,scissors,rock,computer
42,paper,rock,player
43,paper,scissors,computer
44,rock,rock,tie
45,paper,rock,player
46,paper,scissors,computer
47,rock,paper,computer
48,scissors,rock,computer
49,paper,paper,tie
50,paper,scissors,computer
51,rock,paper,computer
52,scissors,rock,computer
53,paper,scissors,computer
54,rock,scissors,player
55,rock,rock,tie
56,paper,paper,tie
57,rock,scissors,player
58,paper,rock,player
59,rock,scissors,player
60,paper,rock,player
61,rock,paper,computer
62,scissors,rock,computer
63,rock,scissors,player
64,rock,scissors,player
65,rock,paper,computer
66,paper,paper,tie
67,rock,paper,computer
