Round Number,Player's Choice,Computer's Choice,Result
1,rock,scissors,player
2,paper,paper,tie
3,rock,rock,tie
4,rock,paper,computer
5,scissors,paper,player
6,rock,paper,computer
7,paper,paper,tie
8,rock,paper,computer
9,rock,paper,computer
10,scissors,rock,computer
11,rock,paper,computer
12,paper,scissors,computer
13,rock,paper,computer
14,rock,paper,computer
15,rock,rock,tie
16,scissors,rock,computer
17,paper,paper,tie
18,rock,rock,tie
19,scissors,paper,player
20,scissors,paper,player
21,scissors,rock,computer
22,paper,rock,player
23,paper,paper,tie
24,rock,rock,tie
25,rock,paper,computer
26,paper,rock,player
27,scissors,paper,player
28,scissors,rock,computer
29,rock,rock,tie
30,rock,scissors,player
31,paper,rock,player
32,scissors,paper,player
33,rock,rock,tie
34,paper,scissors,computer
35,rock,paper,computer
36,scissors,paper,player
37,scissors,paper,player
38,scissors,rock,computer
39,paper,rock,player
40,rock,paper,computer
41,scissors,paper,player
42,scissors,paper,player
43,paper,rock,player
44,paper,paper,tie
45,scissors,paper,player
46,rock,rock,tie
47,scissors,scissors,tie
48,rock,rock,tie
49,paper,scissors,computer
50,scissors,paper,player
51,scissors,paper,player
52,paper,scissors,computer
53,rock,paper,computer
54,scissors,paper,player
55,scissors,paper,player
56,scissors,scissors,tie
57,rock,scissors,player
58,rock,scissors,player
59,rock,rock,tie
60,rock,rock,tie
61,scissors,rock,computer
62,rock,rock,tie
63,paper,scissors,computer
64,rock,paper,computer
65,scissors,paper,player
66,rock,paper,computer
67,scissors,scissors,tie
68,scissors,paper,player
69,scissors,scissors,tie
70,rock,rock,tie
71,paper,scissors,computer
72,rock,paper,computer
73,scissors,rock,computer
74,rock,paper,computer
75,scissors,scissors,tie
76,paper,paper,tie
77,scissors,paper,player
78,rock,rock,tie
79,scissors,scissors,tie
80,rock,paper,computer
81,scissors,scissors,tie
82,rock,paper,computer
83,paper,scissors,computer
84,scissors,paper,player
85,rock,paper,computer
86,rock,scissors,player
87,rock,rock,tie
88,paper,rock,player
89,scissors,paper,player
90,rock,paper,computer
91,rock,scissors,player
92,paper,rock,player
93,rock,paper,computer
94,scissors,rock,computer
95,rock,paper,computer
96,scissors,scissors,tie
97,rock,paper,computer
98,rock,scissors,player
99,rock,rock,tie
100,rock,paper,computer
101,paper,paper,tie
102,scissors,paper,player
103,rock,paper,computer
104,paper,scissors,computer
105,scissors,paper,player
106,rock,paper,computer
107,rock,scissors,player
108,paper,paper,tie
109,rock,paper,computer
110,scissors,rock,computer
111,rock,paper,computer
112,paper,scissors,computer
