Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,scissors,computer
4,rock,rock,tie
5,rock,rock,tie
6,paper,rock,player
7,rock,paper,computer
8,scissors,paper,player
9,paper,paper,tie
10,paper,paper,tie
11,rock,scissors,player
12,scissors,paper,player
13,paper,scissors,computer
14,scissors,scissors,tie
15,rock,paper,computer
16,scissors,paper,player
17,scissors,scissors,tie
18,paper,paper,tie
19,rock,scissors,player
20,scissors,rock,computer
21,paper,scissors,computer
22,rock,scissors,player
23,rock,rock,tie
24,rock,scissors,player
25,rock,scissors,player
26,rock,paper,computer
27,scissors,paper,player
28,scissors,scissors,tie
29,paper,scissors,computer
30,rock,paper,computer
31,rock,rock,tie
32,paper,paper,tie
33,rock,paper,computer
34,paper,paper,tie
35,paper,paper,tie
36,paper,paper,tie
37,scissors,paper,player
38,scissors,paper,player
39,scissors,scissors,tie
40,paper,scissors,computer
41,rock,paper,computer
42,scissors,paper,player
43,scissors,scissors,tie
44,paper,scissors,computer
45,scissors,paper,player
46,scissors,paper,player
47,scissors,scissors,tie
48,rock,scissors,player
49,scissors,rock,computer
50,paper,scissors,computer
51,rock,paper,computer
52,rock,rock,tie
53,rock,paper,computer
54,scissors,paper,player
55,scissors,scissors,tie
56,paper,scissors,computer
57,scissors,paper,player
58,scissors,rock,computer
59,paper,scissors,computer
