Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,rock,player
4,paper,paper,tie
5,scissors,paper,player
6,rock,scissors,player
7,paper,scissors,computer
8,scissors,scissors,tie
9,rock,paper,computer
10,paper,scissors,computer
11,scissors,scissors,tie
12,rock,paper,computer
13,paper,scissors,computer
14,scissors,rock,computer
15,rock,paper,computer
16,paper,scissors,computer
17,scissors,rock,computer
18,paper,paper,tie
19,paper,scissors,computer
20,paper,rock,player
21,paper,rock,player
22,scissors,scissors,tie
23,rock,paper,computer
24,scissors,scissors,tie
25,scissors,paper,player
26,rock,scissors,player
27,rock,scissors,player
28,paper,scissors,computer
29,scissors,rock,computer
30,rock,paper,computer
31,paper,scissors,computer
32,paper,rock,player
33,paper,rock,player
34,paper,scissors,computer
35,scissors,scissors,tie
36,rock,paper,computer
37,scissors,scissors,tie
38,paper,rock,player
39,rock,scissors,player
40,scissors,scissors,tie
41,rock,rock,tie
42,paper,scissors,computer
43,rock,rock,tie
44,scissors,rock,computer
45,paper,rock,player
46,rock,scissors,player
47,paper,rock,player
48,scissors,rock,computer
49,paper,paper,tie
50,paper,paper,tie
51,rock,scissors,player
52,rock,rock,tie
53,paper,scissors,computer
54,rock,rock,tie
55,scissors,rock,computer
56,paper,scissors,computer
57,rock,scissors,player
58,rock,rock,tie
59,rock,scissors,player
60,rock,scissors,player
61,rock,scissors,player
62,rock,paper,computer
63,paper,paper,tie
64,rock,rock,tie
65,paper,rock,player
66,rock,rock,tie
67,scissors,rock,computer
68,paper,scissors,computer
69,rock,paper,computer
70,paper,rock,player
71,paper,rock,player
72,paper,scissors,computer
73,rock,scissors,player
74,rock,rock,tie
75,paper,paper,tie
76,rock,rock,tie
77,scissors,rock,computer
78,rock,scissors,player
79,paper,scissors,computer
