Round Number,Player's Choice,Computer's Choice,Result
2,paper,scissors,computer
3,rock,scissors,player
4,rock,paper,computer
5,scissors,rock,computer
6,paper,scissors,computer
7,rock,paper,computer
8,scissors,paper,player
9,scissors,scissors,tie
10,paper,rock,player
11,rock,paper,computer
12,scissors,paper,player
13,paper,scissors,computer
14,rock,paper,computer
15,scissors,rock,computer
16,paper,scissors,computer
17,paper,paper,tie
18,rock,scissors,player
19,rock,rock,tie
20,paper,rock,player
21,paper,rock,player
22,paper,paper,tie
23,rock,paper,computer
24,scissors,rock,computer
25,rock,scissors,player
26,rock,rock,tie
27,paper,rock,player
28,paper,scissors,computer
29,rock,paper,computer
30,scissors,rock,computer
31,paper,scissors,computer
32,rock,paper,computer
33,rock,rock,tie
34,rock,scissors,player
35,rock,scissors,player
36,rock,scissors,player
37,scissors,paper,player
38,rock,scissors,player
39,paper,paper,tie
40,rock,scissors,player
41,rock,rock,tie
42,paper,paper,tie
43,rock,scissors,player
44,scissors,rock,computer
45,rock,scissors,player
46,paper,paper,tie
47,rock,scissors,player
48,rock,rock,tie
49,rock,scissors,player
50,rock,paper,computer
51,scissors,paper,player
