Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,scissors,computer
4,rock,paper,computer
5,scissors,scissors,tie
6,scissors,paper,player
7,scissors,rock,computer
8,paper,rock,player
9,paper,rock,player
10,rock,rock,tie
11,scissors,rock,computer
12,rock,rock,tie
13,rock,paper,computer
14,scissors,rock,computer
15,paper,rock,player
16,rock,scissors,player
17,scissors,rock,computer
18,paper,rock,player
19,paper,scissors,computer
20,rock,paper,computer
21,paper,rock,player
22,rock,paper,computer
23,scissors,rock,computer
24,scissors,scissors,tie
25,paper,rock,player
26,rock,scissors,player
27,scissors,rock,computer
28,paper,rock,player
29,rock,scissors,player
30,scissors,rock,computer
31,scissors,scissors,tie
32,paper,scissors,computer
33,scissors,paper,player
34,scissors,scissors,tie
35,rock,scissors,player
36,paper,paper,tie
37,rock,paper,computer
38,scissors,rock,computer
39,paper,rock,player
40,rock,paper,computer
41,scissors,rock,computer
42,paper,scissors,computer
43,rock,paper,computer
