Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,rock,scissors,player
4,scissors,rock,computer
5,paper,scissors,computer
6,rock,scissors,player
7,rock,rock,tie
8,rock,rock,tie
9,paper,rock,player
10,rock,scissors,player
11,rock,paper,computer
12,paper,rock,player
13,paper,paper,tie
14,paper,rock,player
15,rock,scissors,player
16,rock,paper,computer
17,paper,scissors,computer
18,rock,paper,computer
19,scissors,paper,player
20,scissors,scissors,tie
21,rock,scissors,player
22,rock,rock,tie
23,rock,scissors,player
24,scissors,scissors,tie
25,paper,scissors,computer
26,rock,paper,computer
27,rock,paper,computer
28,scissors,scissors,tie
29,rock,scissors,player
30,paper,paper,tie
31,rock,paper,computer
32,scissors,paper,player
33,paper,scissors,computer
34,paper,paper,tie
35,rock,scissors,player
36,rock,paper,computer
37,scissors,rock,computer
38,paper,scissors,computer
39,rock,paper,computer
40,paper,paper,tie
41,scissors,paper,player
42,rock,rock,tie
43,paper,paper,tie
44,rock,paper,computer
45,paper,paper,tie
46,paper,paper,tie
47,scissors,paper,player
48,scissors,paper,player
49,scissors,paper,player
50,scissors,paper,player
51,paper,rock,player
52,rock,paper,computer
53,scissors,paper,player
