Round Number,Player's Choice,Computer's Choice,Result
2,paper,rock,player
3,rock,scissors,player
4,paper,rock,player
5,rock,rock,tie
6,paper,scissors,computer
7,rock,paper,computer
8,scissors,scissors,tie
9,paper,scissors,computer
10,rock,scissors,player
11,scissors,scissors,tie
12,paper,scissors,computer
13,rock,paper,computer
14,scissors,scissors,tie
15,paper,scissors,computer
16,rock,paper,computer
17,rock,rock,tie
18,rock,paper,computer
19,scissors,paper,player
20,scissors,scissors,tie
21,paper,rock,player
22,rock,paper,computer
23,scissors,rock,computer
24,paper,scissors,computer
25,rock,paper,computer
26,rock,rock,tie
27,rock,paper,computer
28,scissors,paper,player
29,paper,scissors,computer
30,rock,paper,computer
31,scissors,rock,computer
32,scissors,scissors,tie
33,rock,scissors,player
34,paper,rock,player
35,paper,paper,tie
36,rock,paper,computer
37,rock,rock,tie
38,rock,paper,computer
39,scissors,paper,player
40,scissors,scissors,tie
41,rock,scissors,player
42,rock,scissors,player
43,scissors,paper,player
44,rock,scissors,player
45,rock,scissors,player
46,rock,rock,tie
47,paper,paper,tie
48,rock,paper,computer
49,rock,rock,tie
50,paper,paper,tie
51,scissors,paper,player
52,rock,rock,tie
53,rock,paper,computer
