Round Number,Player's Choice,Computer's Choice,Result
2,paper,paper,tie
3,rock,rock,tie
4,scissors,rock,computer
5,rock,paper,computer
6,scissors,scissors,tie
7,paper,paper,tie
8,rock,rock,tie
9,scissors,rock,computer
10,rock,paper,computer
11,scissors,rock,computer
12,paper,paper,tie
13,paper,paper,tie
14,paper,scissors,computer
15,rock,scissors,player
16,rock,rock,tie
17,rock,rock,tie
18,paper,paper,tie
19,scissors,paper,player
20,rock,paper,computer
21,rock,rock,tie
22,paper,paper,tie
23,scissors,rock,computer
24,paper,paper,tie
25,rock,paper,computer
26,paper,rock,player
27,paper,rock,player
28,paper,scissors,computer
29,rock,scissors,player
30,scissors,rock,computer
31,paper,paper,tie
32,rock,paper,computer
33,scissors,rock,computer
34,paper,scissors,computer
35,rock,paper,computer
36,scissors,rock,computer
37,scissors,scissors,tie
38,rock,scissors,player
39,rock,rock,tie
40,rock,scissors,player
41,rock,paper,computer
42,scissors,paper,player
43,scissors,scissors,tie
44,paper,paper,tie
45,rock,paper,computer
46,scissors,rock,computer
47,paper,scissors,computer
