Round Number,Player's Choice,Computer's Choice,Result
2,paper,scissors,computer
3,rock,paper,computer
4,rock,paper,computer
5,scissors,scissors,tie
6,paper,rock,player
7,paper,paper,tie
8,rock,scissors,player
9,scissors,paper,player
10,paper,scissors,computer
11,rock,scissors,player
12,rock,paper,computer
13,scissors,rock,computer
14,scissors,scissors,tie
15,rock,rock,tie
16,paper,scissors,computer
17,rock,scissors,player
18,rock,paper,computer
19,paper,rock,player
20,paper,paper,tie
21,rock,paper,computer
22,paper,paper,tie
23,scissors,paper,player
24,scissors,rock,computer
25,scissors,paper,player
26,rock,paper,computer
27,scissors,scissors,tie
28,paper,scissors,computer
29,scissors,scissors,tie
30,rock,rock,tie
31,paper,scissors,computer
32,rock,paper,computer
33,rock,paper,computer
34,scissors,rock,computer
35,paper,scissors,computer
36,rock,scissors,player
37,scissors,paper,player
38,paper,scissors,computer
39,scissors,paper,player
40,scissors,rock,computer
41,paper,paper,tie
42,rock,paper,computer
