Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,rock,player
4,scissors,paper,player
5,paper,paper,tie
6,rock,rock,tie
7,scissors,paper,player
8,rock,rock,tie
9,paper,scissors,computer
10,rock,rock,tie
11,scissors,rock,computer
12,paper,paper,tie
13,paper,paper,tie
14,scissors,scissors,tie
15,rock,scissors,player
16,rock,scissors,player
17,rock,scissors,player
18,rock,paper,computer
19,scissors,paper,player
20,scissors,paper,player
21,scissors,scissors,tie
22,rock,rock,tie
23,paper,scissors,computer
24,rock,rock,tie
25,scissors,rock,computer
26,rock,paper,computer
27,rock,scissors,player
28,paper,paper,tie
29,rock,paper,computer
30,scissors,rock,computer
31,paper,paper,tie
32,rock,paper,computer
33,scissors,rock,computer
34,scissors,paper,player
35,scissors,rock,computer
36,rock,rock,tie
37,rock,scissors,player
38,rock,paper,computer
39,paper,paper,tie
40,paper,paper,tie
41,scissors,rock,computer
42,rock,scissors,player
43,rock,paper,computer
44,paper,paper,tie
45,paper,paper,tie
46,scissors,rock,computer
47,rock,paper,computer
48,scissors,paper,player
49,scissors,paper,player
50,scissors,rock,computer
51,rock,rock,tie
52,paper,paper,tie
53,paper,paper,tie
54,paper,rock,player
55,rock,rock,tie
56,paper,rock,player
57,rock,paper,computer
58,scissors,rock,computer
59,paper,rock,player
60,rock,paper,computer
