Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,rock,rock,tie
4,paper,rock,player
5,scissors,paper,player
6,rock,scissors,player
7,paper,scissors,computer
8,rock,rock,tie
9,scissors,rock,computer
10,paper,paper,tie
11,paper,rock,player
12,paper,rock,player
13,paper,scissors,computer
14,rock,scissors,player
15,rock,rock,tie
16,scissors,scissors,tie
17,rock,scissors,player
18,paper,scissors,computer
19,rock,rock,tie
20,scissors,rock,computer
21,paper,scissors,computer
22,rock,scissors,player
23,scissors,rock,computer
24,paper,scissors,computer
25,rock,scissors,player
26,scissors,rock,computer
27,paper,scissors,computer
28,rock,paper,computer
29,rock,rock,tie
30,paper,scissors,computer
31,rock,paper,computer
32,scissors,rock,computer
33,paper,scissors,computer
34,rock,paper,computer
35,rock,rock,tie
36,paper,scissors,computer
37,rock,paper,computer
38,scissors,rock,computer
39,scissors,scissors,tie
40,scissors,rock,computer
41,rock,rock,tie
42,paper,scissors,computer
43,rock,paper,computer
44,scissors,rock,computer
45,scissors,scissors,tie
46,scissors,rock,computer
47,paper,rock,player
48,paper,paper,tie
49,rock,scissors,player
50,scissors,rock,computer
