Round Number,Player's Choice,Computer's Choice,Result
2,paper,rock,player
3,rock,rock,tie
4,scissors,rock,computer
5,scissors,rock,computer
6,rock,rock,tie
7,paper,scissors,computer
8,scissors,rock,computer
9,rock,rock,tie
10,paper,scissors,computer
11,rock,rock,tie
12,scissors,rock,computer
13,rock,rock,tie
14,paper,scissors,computer
15,scissors,rock,computer
16,paper,paper,tie
17,rock,rock,tie
18,rock,rock,tie
19,paper,scissors,computer
20,rock,rock,tie
21,rock,rock,tie
22,scissors,scissors,tie
23,paper,rock,player
24,rock,paper,computer
25,scissors,rock,computer
26,rock,rock,tie
27,paper,scissors,computer
28,rock,rock,tie
29,scissors,rock,computer
30,paper,paper,tie
31,paper,paper,tie
32,rock,paper,computer
33,scissors,rock,computer
34,paper,paper,tie
35,rock,paper,computer
36,scissors,rock,computer
37,paper,scissors,computer
38,rock,paper,computer
39,scissors,rock,computer
