Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,rock,player
4,scissors,rock,computer
5,paper,rock,player
6,paper,rock,player
7,paper,rock,player
8,rock,scissors,player
9,scissors,rock,computer
10,paper,rock,player
11,paper,scissors,computer
12,rock,scissors,player
13,scissors,rock,computer
14,paper,scissors,computer
15,paper,scissors,computer
16,rock,paper,computer
17,scissors,rock,computer
18,paper,scissors,computer
19,paper,scissors,computer
20,rock,paper,computer
21,paper,rock,player
22,paper,rock,player
23,paper,paper,tie
24,rock,paper,computer
25,scissors,rock,computer
26,paper,scissors,computer
27,rock,scissors,player
28,paper,rock,player
29,paper,rock,player
30,paper,paper,tie
31,rock,paper,computer
32,scissors,rock,computer
33,rock,scissors,player
34,paper,paper,tie
35,paper,scissors,computer
36,rock,paper,computer
37,scissors,rock,computer
38,paper,scissors,computer
