Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,rock,paper,computer
4,scissors,rock,computer
5,rock,rock,tie
6,paper,rock,player
7,rock,rock,tie
8,rock,rock,tie
9,paper,rock,player
10,paper,paper,tie
11,scissors,rock,computer
12,paper,rock,player
13,rock,rock,tie
14,paper,paper,tie
15,paper,paper,tie
16,scissors,rock,computer
17,rock,scissors,player
18,rock,scissors,player
19,rock,rock,tie
20,rock,rock,tie
21,paper,paper,tie
22,paper,scissors,computer
23,rock,rock,tie
24,paper,paper,tie
25,rock,scissors,player
26,scissors,scissors,tie
27,rock,paper,computer
28,scissors,scissors,tie
29,paper,paper,tie
30,scissors,paper,player
31,rock,scissors,player
32,rock,scissors,player
33,paper,scissors,computer
34,rock,scissors,player
35,rock,scissors,player
36,rock,scissors,player
37,paper,scissors,computer
38,rock,paper,computer
39,scissors,paper,player
40,scissors,paper,player
41,scissors,scissors,tie
42,rock,rock,tie
43,rock,paper,computer
44,paper,scissors,computer
45,rock,paper,computer
46,scissors,paper,player
47,scissors,paper,player
48,paper,rock,player
49,rock,paper,computer
50,scissors,rock,computer
51,paper,paper,tie
52,rock,paper,computer
53,paper,rock,player
54,rock,paper,computer
55,scissors,rock,computer
56,rock,paper,computer
57,scissors,paper,player
58,paper,paper,tie
59,rock,paper,computer
60,scissors,rock,computer
61,paper,paper,tie
62,scissors,paper,player
63,scissors,paper,player
64,scissors,rock,computer
65,paper,rock,player
66,paper,paper,tie
67,rock,rock,tie
68,paper,rock,player
69,rock,paper,computer
70,scissors,rock,computer
71,paper,scissors,computer
72,rock,paper,computer
