Round Number,Player's Choice,Computer's Choice,Result
1,scissors,scissors,tie
2,rock,paper,computer
3,paper,rock,player
4,paper,scissors,computer
5,scissors,rock,computer
6,rock,rock,tie
7,paper,scissors,computer
8,rock,scissors,player
9,scissors,scissors,tie
10,rock,rock,tie
11,rock,scissors,player
12,rock,scissors,player
13,rock,paper,computer
14,scissors,paper,player
15,paper,paper,tie
16,scissors,scissors,tie
17,rock,paper,computer
18,scissors,scissors,tie
19,scissors,paper,player
20,scissors,paper,player
21,scissors,rock,computer
22,rock,rock,tie
23,scissors,scissors,tie
24,scissors,paper,player
25,scissors,rock,computer
26,paper,rock,player
27,rock,rock,tie
28,scissors,rock,computer
29,paper,rock,player
30,paper,rock,player
31,paper,rock,player
32,paper,rock,player
33,paper,scissors,computer
34,scissors,scissors,tie
35,rock,paper,computer
36,scissors,scissors,tie
37,rock,scissors,player
38,paper,rock,player
39,scissors,scissors,tie
40,paper,paper,tie
41,rock,rock,tie
42,scissors,rock,computer
43,paper,paper,tie
44,paper,paper,tie
45,scissors,scissors,tie
46,rock,paper,computer
47,scissors,scissors,tie
48,rock,scissors,player
49,paper,rock,player
50,scissors,scissors,tie
51,paper,paper,tie
52,paper,paper,tie
53,rock,rock,tie
54,scissors,rock,computer
55,rock,paper,computer
56,scissors,scissors,tie
57,paper,paper,tie
58,rock,scissors,player
59,paper,rock,player
60,rock,rock,tie
61,paper,rock,player
62,paper,paper,tie
63,scissors,rock,computer
64,rock,paper,computer
65,scissors,rock,computer
66,paper,paper,tie
67,scissors,paper,player
68,scissors,paper,player
69,scissors,rock,computer
70,paper,rock,player
71,paper,paper,tie
72,scissors,rock,computer
73,paper,paper,tie
74,scissors,scissors,tie
75,rock,paper,computer
76,scissors,rock,computer
77,paper,scissors,computer
78,rock,scissors,player
79,rock,rock,tie
80,rock,paper,computer
81,paper,paper,tie
82,scissors,scissors,tie
83,rock,paper,computer
84,scissors,rock,computer
85,paper,scissors,computer
86,rock,paper,computer
87,rock,rock,tie
88,paper,paper,tie
89,paper,rock,player
90,scissors,rock,computer
91,paper,paper,tie
92,paper,paper,tie
93,scissors,rock,computer
94,rock,paper,computer
95,scissors,rock,computer
96,paper,scissors,computer
97,paper,paper,tie
98,rock,rock,tie
99,scissors,rock,computer
100,paper,scissors,computer
101,scissors,scissors,tie
102,rock,paper,computer
103,scissors,rock,computer
104,paper,scissors,computer
105,scissors,scissors,tie
106,rock,paper,computer
107,scissors,rock,computer
108,paper,scissors,computer
109,rock,scissors,player
110,paper,rock,player
111,scissors,scissors,tie
112,rock,paper,computer
113,paper,rock,player
114,rock,rock,tie
115,paper,rock,player
116,paper,rock,player
117,paper,rock,player
118,scissors,rock,computer
119,paper,paper,tie
120,scissors,paper,player
121,scissors,paper,player
122,scissors,rock,computer
123,rock,rock,tie
124,scissors,rock,computer
