Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,rock,player
4,scissors,scissors,tie
5,rock,rock,tie
6,paper,rock,player
7,rock,rock,tie
8,paper,rock,player
9,paper,rock,player
10,paper,scissors,computer
11,scissors,scissors,tie
12,rock,paper,computer
13,scissors,scissors,tie
14,paper,rock,player
15,rock,rock,tie
16,paper,scissors,computer
17,rock,rock,tie
18,rock,scissors,player
19,rock,scissors,player
20,rock,paper,computer
21,scissors,paper,player
22,paper,scissors,computer
23,rock,paper,computer
24,scissors,scissors,tie
25,rock,scissors,player
26,rock,scissors,player
27,paper,paper,tie
28,rock,paper,computer
29,scissors,scissors,tie
30,scissors,scissors,tie
31,rock,scissors,player
32,rock,scissors,player
33,paper,paper,tie
34,rock,paper,computer
35,scissors,scissors,tie
36,rock,scissors,player
37,paper,paper,tie
38,rock,paper,computer
39,scissors,rock,computer
40,paper,scissors,computer
41,paper,paper,tie
42,rock,scissors,player
43,scissors,rock,computer
44,paper,scissors,computer
45,paper,paper,tie
46,rock,scissors,player
47,rock,rock,tie
48,paper,paper,tie
49,rock,paper,computer
50,scissors,rock,computer
51,paper,scissors,computer
52,rock,paper,computer
53,paper,rock,player
54,paper,paper,tie
55,paper,paper,tie
56,scissors,scissors,tie
57,rock,paper,computer
58,paper,scissors,computer
59,scissors,paper,player
60,scissors,paper,player
61,scissors,paper,player
62,paper,paper,tie
63,rock,paper,computer
64,scissors,rock,computer
65,paper,scissors,computer
66,paper,paper,tie
67,scissors,scissors,tie
68,rock,paper,computer
69,paper,scissors,computer
70,scissors,paper,player
71,scissors,paper,player
72,rock,paper,computer
