Round Number,Player's Choice,Computer's Choice,Result
2,paper,scissors,computer
3,rock,paper,computer
4,scissors,rock,computer
5,paper,paper,tie
6,rock,rock,tie
7,rock,rock,tie
8,paper,scissors,computer
9,rock,scissors,player
10,rock,rock,tie
11,scissors,scissors,tie
12,paper,scissors,computer
13,rock,paper,computer
14,scissors,paper,player
15,scissors,scissors,tie
16,rock,scissors,player
17,scissors,scissors,tie
18,rock,scissors,player
19,rock,rock,tie
20,paper,scissors,computer
21,rock,paper,computer
22,scissors,rock,computer
23,paper,scissors,computer
24,paper,paper,tie
25,paper,scissors,computer
26,rock,scissors,player
27,scissors,rock,computer
28,rock,scissors,player
29,rock,rock,tie
30,paper,scissors,computer
31,rock,paper,computer
32,scissors,rock,computer
33,paper,scissors,computer
34,rock,paper,computer
35,rock,rock,tie
36,scissors,scissors,tie
37,scissors,scissors,tie
38,rock,paper,computer
39,paper,paper,tie
40,paper,paper,tie
41,scissors,scissors,tie
42,rock,scissors,player
43,rock,paper,computer
44,scissors,scissors,tie
45,rock,scissors,player
46,rock,paper,computer
47,scissors,scissors,tie
48,rock,scissors,player
49,scissors,paper,player
50,paper,scissors,computer
51,rock,paper,computer
52,scissors,rock,computer
53,paper,scissors,computer
54,rock,paper,computer
