Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,paper,tie
4,rock,rock,tie
5,rock,rock,tie
6,paper,scissors,computer
7,rock,paper,computer
8,scissors,paper,player
9,scissors,scissors,tie
10,paper,scissors,computer
11,rock,rock,tie
12,paper,paper,tie
13,paper,paper,tie
14,scissors,rock,computer
15,paper,rock,player
16,paper,paper,tie
17,paper,rock,player
18,rock,rock,tie
19,paper,paper,tie
20,scissors,paper,player
21,scissors,scissors,tie
22,rock,scissors,player
23,rock,scissors,player
24,rock,scissors,player
25,rock,scissors,player
26,paper,paper,tie
27,rock,paper,computer
28,scissors,scissors,tie
29,scissors,rock,computer
30,paper,scissors,computer
31,paper,paper,tie
32,rock,rock,tie
33,paper,rock,player
34,rock,paper,computer
35,scissors,scissors,tie
36,paper,rock,player
37,rock,scissors,player
38,scissors,rock,computer
39,paper,rock,player
40,rock,paper,computer
41,scissors,rock,computer
42,paper,rock,player
43,paper,paper,tie
44,paper,paper,tie
45,scissors,scissors,tie
46,rock,scissors,player
47,rock,paper,computer
48,scissors,scissors,tie
49,paper,scissors,computer
50,rock,paper,computer
51,scissors,rock,computer
52,paper,scissors,computer
53,rock,paper,computer
54,rock,rock,tie
55,rock,scissors,player
56,rock,paper,computer
57,scissors,paper,player
58,scissors,scissors,tie
59,paper,scissors,computer
60,rock,paper,computer
