Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,scissors,computer
4,scissors,rock,computer
5,rock,rock,tie
6,rock,paper,computer
7,scissors,rock,computer
8,paper,scissors,computer
9,rock,paper,computer
10,rock,paper,computer
11,rock,rock,tie
12,scissors,rock,computer
13,paper,scissors,computer
14,rock,paper,computer
15,scissors,paper,player
16,paper,scissors,computer
17,rock,paper,computer
18,scissors,paper,player
19,scissors,scissors,tie
20,paper,scissors,computer
21,scissors,paper,player
22,scissors,paper,player
23,scissors,scissors,tie
24,rock,scissors,player
25,rock,paper,computer
26,scissors,rock,computer
27,paper,scissors,computer
28,rock,paper,computer
29,scissors,rock,computer
30,scissors,scissors,tie
31,paper,scissors,computer
32,scissors,paper,player
33,rock,paper,computer
