Round Number,Player's Choice,Computer's Choice,Result
2,paper,scissors,computer
3,scissors,rock,computer
4,paper,scissors,computer
5,rock,paper,computer
6,scissors,rock,computer
7,paper,scissors,computer
8,rock,paper,computer
9,rock,rock,tie
10,rock,rock,tie
11,paper,paper,tie
12,paper,paper,tie
13,rock,paper,computer
14,scissors,rock,computer
15,scissors,scissors,tie
16,paper,paper,tie
17,rock,paper,computer
18,rock,rock,tie
19,paper,paper,tie
20,rock,scissors,player
21,scissors,rock,computer
22,paper,scissors,computer
23,scissors,paper,player
24,scissors,scissors,tie
25,rock,scissors,player
26,rock,scissors,player
27,rock,scissors,player
28,rock,paper,computer
29,scissors,paper,player
30,paper,scissors,computer
31,scissors,paper,player
32,scissors,scissors,tie
33,rock,scissors,player
34,rock,paper,computer
35,scissors,paper,player
36,scissors,scissors,tie
37,rock,paper,computer
38,scissors,paper,player
39,scissors,scissors,tie
40,paper,paper,tie
41,rock,paper,computer
42,scissors,rock,computer
43,paper,scissors,computer
44,paper,paper,tie
45,scissors,paper,player
46,rock,rock,tie
47,paper,paper,tie
48,rock,scissors,player
49,scissors,rock,computer
