Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,rock,player
4,paper,paper,tie
5,rock,paper,computer
6,rock,rock,tie
7,paper,paper,tie
8,paper,scissors,computer
9,scissors,paper,player
10,scissors,scissors,tie
11,rock,rock,tie
12,paper,paper,tie
13,scissors,scissors,tie
14,rock,rock,tie
15,paper,scissors,computer
16,rock,scissors,player
17,rock,paper,computer
18,scissors,scissors,tie
19,scissors,rock,computer
20,rock,paper,computer
21,rock,scissors,player
22,rock,scissors,player
23,rock,scissors,player
24,rock,paper,computer
25,paper,paper,tie
26,rock,scissors,player
27,rock,paper,computer
28,scissors,paper,player
29,paper,rock,player
30,rock,rock,tie
31,paper,paper,tie
32,paper,scissors,computer
33,rock,paper,computer
34,rock,paper,computer
35,scissors,paper,player
36,scissors,rock,computer
37,paper,paper,tie
38,rock,paper,computer
39,scissors,paper,player
40,scissors,rock,computer
41,rock,paper,computer
42,scissors,scissors,tie
43,rock,rock,tie
44,paper,scissors,computer
45,rock,scissors,player
46,rock,paper,computer
47,scissors,rock,computer
48,paper,rock,player
49,paper,paper,tie
50,paper,paper,tie
51,scissors,paper,player
52,paper,rock,player
53,rock,paper,computer
54,scissors,paper,player
55,scissors,rock,computer
