Round Number,Player's Choice,Computer's Choice,Result
1,rock,paper,computer
2,paper,scissors,computer
3,paper,scissors,computer
4,scissors,scissors,tie
5,rock,scissors,player
6,rock,paper,computer
7,scissors,scissors,tie
8,scissors,scissors,tie
9,rock,scissors,player
10,rock,paper,computer
11,paper,rock,player
12,scissors,scissors,tie
13,paper,paper,tie
14,scissors,scissors,tie
15,rock,paper,computer
16,scissors,paper,player
17,scissors,rock,computer
18,paper,paper,tie
19,scissors,rock,computer
20,rock,paper,computer
21,rock,paper,computer
22,scissors,rock,computer
23,paper,rock,player
24,paper,rock,player
25,scissors,rock,computer
26,rock,paper,computer
27,scissors,paper,player
28,scissors,rock,computer
29,paper,paper,tie
30,scissors,rock,computer
31,rock,paper,computer
32,paper,paper,tie
33,rock,scissors,player
34,scissors,rock,computer
35,rock,rock,tie
36,scissors,paper,player
37,paper,rock,player
38,scissors,rock,computer
39,rock,paper,computer
40,paper,paper,tie
41,paper,scissors,computer
42,scissors,rock,computer
43,rock,paper,computer
44,rock,paper,computer
45,scissors,rock,computer
46,paper,rock,player
47,scissors,rock,computer
48,paper,paper,tie
49,rock,rock,tie
50,scissors,rock,computer
51,scissors,rock,computer
52,rock,scissors,player
53,paper,paper,tie
54,rock,scissors,player
55,scissors,rock,computer
56,rock,rock,tie
57,rock,paper,computer
58,scissors,rock,computer
