Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,rock,player
4,rock,rock,tie
5,paper,rock,player
6,paper,paper,tie
7,scissors,paper,player
8,rock,rock,tie
9,paper,paper,tie
10,rock,paper,computer
11,scissors,scissors,tie
12,scissors,rock,computer
13,paper,rock,player
14,rock,rock,tie
15,paper,scissors,computer
16,rock,paper,computer
17,scissors,scissors,tie
18,scissors,rock,computer
19,paper,scissors,computer
20,rock,paper,computer
21,rock,scissors,player
22,rock,paper,computer
23,scissors,paper,player
24,paper,rock,player
25,rock,paper,computer
26,scissors,scissors,tie
27,scissors,rock,computer
28,rock,scissors,player
29,rock,scissors,player
30,rock,paper,computer
31,paper,paper,tie
32,paper,paper,tie
33,rock,rock,tie
34,paper,rock,player
35,rock,paper,computer
36,scissors,scissors,tie
37,paper,rock,player
38,rock,paper,computer
39,scissors,rock,computer
40,scissors,rock,computer
41,paper,scissors,computer
42,paper,paper,tie
43,paper,rock,player
44,rock,rock,tie
45,rock,rock,tie
46,scissors,paper,player
47,paper,rock,player
48,rock,paper,computer
49,scissors,rock,computer
50,rock,rock,tie
51,paper,scissors,computer
52,rock,paper,computer
