Round Number,Player's Choice,Computer's Choice,Result
2,rock,paper,computer
3,paper,rock,player
4,scissors,rock,computer
5,rock,rock,tie
6,paper,rock,player
7,paper,rock,player
8,rock,paper,computer
9,scissors,rock,computer
10,rock,rock,tie
11,paper,scissors,computer
12,rock,rock,tie
13,scissors,rock,computer
14,rock,paper,computer
15,scissors,scissors,tie
16,scissors,paper,player
17,rock,scissors,player
18,scissors,scissors,tie
19,scissors,paper,player
20,rock,paper,computer
21,paper,scissors,computer
22,rock,rock,tie
23,paper,rock,player
24,paper,paper,tie
25,scissors,paper,player
26,rock,paper,computer
27,paper,scissors,computer
28,rock,scissors,player
29,rock,rock,tie
30,rock,paper,computer
31,scissors,paper,player
32,scissors,paper,player
33,scissors,paper,player
34,scissors,paper,player
35,scissors,paper,player
36,paper,rock,player
37,rock,rock,tie
38,paper,rock,player
39,rock,paper,computer
40,scissors,rock,computer
41,paper,rock,player
42,paper,paper,tie
43,rock,paper,computer
44,paper,rock,player
45,paper,paper,tie
46,scissors,paper,player
47,scissors,paper,player
48,scissors,rock,computer
49,rock,rock,tie
50,paper,scissors,computer
51,scissors,paper,player
52,scissors,paper,player
53,scissors,rock,computer
54,rock,rock,tie
55,rock,scissors,player
56,rock,paper,computer
57,scissors,paper,player
58,paper,rock,player
