Round Number,Player's Choice,Computer's Choice,Result
2,scissors,rock,computer
3,paper,paper,tie
4,rock,paper,computer
5,paper,rock,player
6,scissors,paper,player
7,rock,scissors,player
8,paper,paper,tie
9,rock,rock,tie
10,rock,scissors,player
11,rock,scissors,player
12,paper,paper,tie
13,scissors,rock,computer
14,scissors,paper,player
15,scissors,scissors,tie
16,paper,rock,player
17,rock,paper,computer
18,rock,scissors,player
19,paper,paper,tie
20,paper,rock,player
21,paper,rock,player
22,scissors,scissors,tie
23,scissors,paper,player
24,scissors,rock,computer
25,paper,rock,player
26,rock,paper,computer
27,scissors,paper,player
28,paper,rock,player
29,rock,paper,computer
30,scissors,paper,player
31,scissors,scissors,tie
32,paper,rock,player
33,rock,paper,computer
34,scissors,paper,player
35,paper,scissors,computer
36,rock,paper,computer
37,scissors,rock,computer
38,paper,scissors,computer
39,paper,paper,tie
40,paper,scissors,computer
41,rock,scissors,player
42,scissors,rock,computer
43,scissors,scissors,tie
44,scissors,scissors,tie
45,rock,rock,tie
46,paper,scissors,computer
47,rock,rock,tie
48,rock,rock,tie
49,paper,scissors,computer
50,paper,rock,player
51,rock,scissors,player
52,scissors,rock,computer
53,paper,scissors,computer
54,rock,paper,computer
55,paper,rock,player
56,paper,rock,player
57,paper,scissors,computer
58,rock,scissors,player
59,scissors,rock,computer
60,paper,scissors,computer
61,scissors,paper,player
62,scissors,rock,computer
63,rock,rock,tie
64,paper,scissors,computer
65,rock,scissors,player
66,rock,rock,tie
67,paper,scissors,computer
68,rock,paper,computer
69,scissors,rock,computer
70,paper,scissors,computer
71,rock,paper,computer
72,scissors,rock,computer
