Round Number,Player's Choice,Computer's Choice,Result
2,rock,paper,computer
3,scissors,rock,computer
4,paper,paper,tie
5,paper,scissors,computer
6,rock,rock,tie
7,rock,scissors,player
8,scissors,rock,computer
9,paper,scissors,computer
10,paper,scissors,computer
11,rock,paper,computer
12,scissors,paper,player
13,rock,scissors,player
14,rock,rock,tie
15,paper,rock,player
16,rock,rock,tie
17,scissors,paper,player
18,rock,scissors,player
19,scissors,paper,player
20,rock,scissors,player
21,rock,paper,computer
22,scissors,rock,computer
23,paper,paper,tie
24,rock,scissors,player
25,paper,rock,player
26,rock,paper,computer
27,scissors,rock,computer
28,paper,scissors,computer
29,rock,scissors,player
30,rock,rock,tie
31,rock,rock,tie
32,paper,rock,player
33,scissors,paper,player
34,rock,scissors,player
35,scissors,paper,player
36,paper,scissors,computer
37,rock,scissors,player
38,paper,rock,player
39,rock,paper,computer
40,scissors,rock,computer
41,paper,scissors,computer
42,paper,paper,tie
43,rock,paper,computer
44,scissors,rock,computer
45,paper,scissors,computer
46,paper,scissors,computer
