Round Number,Player's Choice,Computer's Choice,Result
1,rock,scissors,player
2,paper,rock,player
3,scissors,rock,computer
4,rock,rock,tie
5,paper,rock,player
6,rock,rock,tie
7,paper,rock,player
8,paper,rock,player
9,paper,scissors,computer
10,rock,scissors,player
11,rock,scissors,player
12,paper,scissors,computer
13,rock,rock,tie
14,scissors,scissors,tie
15,paper,rock,player
16,rock,paper,computer
17,scissors,scissors,tie
18,paper,scissors,computer
19,rock,paper,computer
20,rock,rock,tie
21,paper,scissors,computer
22,rock,paper,computer
23,rock,paper,computer
24,scissors,scissors,tie
25,scissors,scissors,tie
26,rock,scissors,player
27,paper,scissors,computer
28,rock,paper,computer
29,scissors,paper,player
30,scissors,scissors,tie
31,rock,paper,computer
32,scissors,scissors,tie
33,rock,scissors,player
34,paper,scissors,computer
35,rock,paper,computer
36,scissors,paper,player
37,rock,scissors,player
38,rock,scissors,player
39,rock,scissors,player
40,rock,scissors,player
41,paper,scissors,computer
42,rock,paper,computer
43,scissors,rock,computer
44,rock,scissors,player
45,rock,scissors,player
46,rock,scissors,player
47,rock,scissors,player
48,rock,paper,computer
49,scissors,paper,player
50,rock,paper,computer
51,scissors,scissors,tie
52,rock,paper,computer
53,scissors,scissors,tie
54,paper,paper,tie
55,rock,paper,computer
56,rock,rock,tie
57,scissors,paper,player
58,rock,paper,computer
59,scissors,scissors,tie
60,rock,paper,computer
61,scissors,rock,computer
62,rock,paper,computer
63,scissors,rock,computer
64,rock,paper,computer
65,paper,rock,player
66,paper,paper,tie
67,rock,scissors,player
68,rock,rock,tie
69,scissors,paper,player
70,scissors,paper,player
71,scissors,paper,player
72,rock,paper,computer
73,scissors,rock,computer
74,paper,paper,tie
75,scissors,paper,player
76,scissors,paper,player
77,scissors,paper,player
78,scissors,paper,player
79,scissors,paper,player
80,scissors,rock,computer
81,rock,rock,tie
82,paper,rock,player
83,scissors,paper,player
84,scissors,paper,player
85,scissors,rock,computer
86,rock,rock,tie
87,paper,rock,player
88,rock,paper,computer
89,scissors,paper,player
90,scissors,paper,player
91,scissors,rock,computer
92,rock,rock,tie
93,paper,rock,player
94,scissors,paper,player
95,scissors,rock,computer
96,rock,rock,tie
97,paper,scissors,computer
98,rock,paper,computer
99,scissors,rock,computer
100,rock,paper,computer
101,paper,scissors,computer
102,rock,paper,computer
103,scissors,rock,computer
104,rock,paper,computer
105,rock,scissors,player
106,paper,paper,tie
107,scissors,paper,player
108,scissors,rock,computer
109,rock,paper,computer
110,rock,scissors,player
111,rock,paper,computer
