Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,scissors,computer
4,rock,rock,tie
5,paper,rock,player
6,rock,paper,computer
7,scissors,scissors,tie
8,scissors,paper,player
9,paper,rock,player
10,rock,scissors,player
11,scissors,scissors,tie
12,rock,rock,tie
13,rock,paper,computer
14,scissors,rock,computer
15,paper,rock,player
16,rock,paper,computer
17,scissors,rock,computer
18,rock,rock,tie
19,rock,paper,computer
20,scissors,rock,computer
21,paper,paper,tie
22,paper,paper,tie
23,rock,scissors,player
24,paper,rock,player
25,rock,paper,computer
26,scissors,rock,computer
27,scissors,paper,player
28,paper,scissors,computer
29,rock,paper,computer
30,scissors,rock,computer
31,scissors,rock,computer
32,paper,scissors,computer
33,paper,paper,tie
34,paper,paper,tie
35,scissors,paper,player
36,scissors,rock,computer
37,paper,scissors,computer
38,rock,paper,computer
39,scissors,rock,computer
40,paper,rock,player
41,rock,paper,computer
42,scissors,rock,computer
43,paper,rock,player
44,scissors,paper,player
45,rock,rock,tie
46,paper,paper,tie
47,rock,paper,computer
48,scissors,rock,computer
49,paper,scissors,computer
50,rock,paper,computer
