Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,rock,player
4,paper,rock,player
5,paper,paper,tie
6,scissors,scissors,tie
7,scissors,scissors,tie
8,rock,scissors,player
9,rock,scissors,player
10,rock,scissors,player
11,rock,paper,computer
12,scissors,paper,player
13,scissors,scissors,tie
14,rock,paper,computer
15,scissors,paper,player
16,scissors,rock,computer
17,paper,paper,tie
18,paper,scissors,computer
19,rock,scissors,player
20,scissors,scissors,tie
21,paper,rock,player
22,paper,scissors,computer
23,rock,scissors,player
24,scissors,rock,computer
25,paper,rock,player
26,paper,scissors,computer
27,rock,paper,computer
28,scissors,rock,computer
29,rock,rock,tie
30,rock,paper,computer
31,scissors,paper,player
32,paper,rock,player
33,rock,scissors,player
34,scissors,rock,computer
35,paper,scissors,computer
36,scissors,scissors,tie
37,rock,rock,tie
38,paper,paper,tie
39,paper,scissors,computer
40,rock,paper,computer
41,scissors,rock,computer
42,paper,scissors,computer
43,rock,scissors,player
44,scissors,rock,computer
45,scissors,scissors,tie
46,rock,paper,computer
47,scissors,paper,player
48,scissors,scissors,tie
49,paper,paper,tie
50,scissors,scissors,tie
51,rock,rock,tie
52,paper,paper,tie
53,rock,scissors,player
54,scissors,rock,computer
55,paper,scissors,computer
56,paper,scissors,computer
57,rock,paper,computer
58,paper,rock,player
59,paper,scissors,computer
60,rock,paper,computer
61,scissors,rock,computer
