Round Number,Player's Choice,Computer's Choice,Result
1,scissors,paper,player
2,paper,paper,tie
3,paper,rock,player
4,rock,rock,tie
5,paper,paper,tie
6,rock,rock,tie
7,scissors,scissors,tie
8,rock,scissors,player
9,paper,rock,player
10,scissors,paper,player
11,rock,rock,tie
12,scissors,scissors,tie
13,paper,paper,tie
14,scissors,scissors,tie
15,rock,paper,computer
16,paper,scissors,computer
17,scissors,paper,player
18,rock,paper,computer
19,scissors,scissors,tie
20,scissors,paper,player
21,paper,rock,player
22,scissors,scissors,tie
23,paper,paper,tie
24,scissors,rock,computer
25,rock,paper,computer
26,paper,scissors,computer
27,paper,rock,player
28,scissors,paper,player
29,paper,paper,tie
30,scissors,rock,computer
31,rock,paper,computer
32,rock,scissors,player
33,scissors,rock,computer
34,paper,paper,tie
35,scissors,rock,computer
36,rock,paper,computer
37,paper,scissors,computer
38,scissors,rock,computer
39,rock,paper,computer
40,rock,scissors,player
41,paper,rock,player
42,scissors,rock,computer
43,paper,paper,tie
44,rock,rock,tie
45,paper,scissors,computer
46,scissors,rock,computer
47,rock,paper,computer
48,rock,scissors,player
49,rock,rock,tie
50,scissors,rock,computer
51,scissors,scissors,tie
52,scissors,scissors,tie
53,paper,scissors,computer
54,scissors,rock,computer
55,scissors,paper,player
56,paper,scissors,computer
57,paper,rock,player
58,scissors,paper,player
59,rock,paper,computer
60,scissors,scissors,tie
61,paper,scissors,computer
62,scissors,rock,computer
63,scissors,paper,player
64,paper,scissors,computer
65,scissors,rock,computer
66,rock,paper,computer
67,rock,scissors,player
68,rock,rock,tie
69,rock,rock,tie
70,rock,paper,computer
71,scissors,paper,player
72,paper,scissors,computer
