Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,paper,paper,tie
4,rock,scissors,player
5,scissors,rock,computer
6,paper,paper,tie
7,rock,scissors,player
8,scissors,rock,computer
9,paper,scissors,computer
10,paper,paper,tie
11,paper,paper,tie
12,scissors,scissors,tie
13,rock,scissors,player
14,rock,rock,tie
15,scissors,paper,player
16,paper,scissors,computer
17,rock,paper,computer
18,scissors,rock,computer
19,paper,scissors,computer
20,rock,paper,computer
21,scissors,rock,computer
22,paper,scissors,computer
23,rock,paper,computer
24,rock,rock,tie
25,paper,rock,player
26,paper,paper,tie
27,rock,scissors,player
28,rock,rock,tie
29,paper,rock,player
30,rock,paper,computer
31,scissors,rock,computer
32,scissors,scissors,tie
33,scissors,scissors,tie
34,rock,rock,tie
35,paper,paper,tie
36,rock,paper,computer
37,scissors,rock,computer
38,paper,scissors,computer
39,rock,paper,computer
40,rock,rock,tie
41,rock,scissors,player
42,scissors,scissors,tie
43,rock,scissors,player
44,rock,paper,computer
45,scissors,rock,computer
46,paper,scissors,computer
