Round Number,Player's Choice,Computer's Choice,Result
2,rock,paper,computer
3,scissors,paper,player
4,paper,rock,player
5,rock,rock,tie
6,paper,scissors,computer
7,rock,rock,tie
8,scissors,scissors,tie
9,scissors,scissors,tie
10,scissors,scissors,tie
11,rock,rock,tie
12,paper,scissors,computer
13,rock,paper,computer
14,scissors,scissors,tie
15,paper,scissors,computer
16,rock,paper,computer
17,scissors,rock,computer
18,rock,scissors,player
19,paper,scissors,computer
20,rock,paper,computer
21,scissors,rock,computer
22,paper,scissors,computer
23,scissors,paper,player
24,scissors,rock,computer
25,paper,rock,player
26,rock,paper,computer
27,scissors,rock,computer
28,paper,scissors,computer
29,rock,paper,computer
30,paper,rock,player
31,paper,paper,tie
32,scissors,paper,player
33,scissors,rock,computer
34,rock,rock,tie
35,paper,scissors,computer
36,rock,paper,computer
37,scissors,rock,computer
38,rock,scissors,player
39,paper,scissors,computer
40,rock,paper,computer
41,scissors,rock,computer
42,scissors,scissors,tie
43,paper,paper,tie
44,paper,paper,tie
45,rock,rock,tie
46,scissors,rock,computer
47,paper,scissors,computer
