Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,scissors,paper,player
4,paper,rock,player
5,rock,scissors,player
6,scissors,paper,player
7,paper,scissors,computer
8,rock,paper,computer
9,rock,rock,tie
10,rock,rock,tie
11,paper,paper,tie
12,paper,scissors,computer
13,rock,scissors,player
14,rock,rock,tie
15,paper,paper,tie
16,scissors,scissors,tie
17,scissors,paper,player
18,rock,scissors,player
19,rock,scissors,player
20,paper,scissors,computer
21,rock,scissors,player
22,rock,paper,computer
23,scissors,scissors,tie
24,scissors,scissors,tie
25,rock,paper,computer
26,paper,paper,tie
27,paper,scissors,computer
28,rock,paper,computer
29,rock,paper,computer
30,scissors,scissors,tie
31,scissors,scissors,tie
32,rock,paper,computer
33,paper,paper,tie
34,rock,scissors,player
35,scissors,paper,player
36,paper,scissors,computer
37,rock,paper,computer
38,scissors,paper,player
39,rock,scissors,player
40,paper,scissors,computer
41,rock,scissors,player
42,scissors,paper,player
43,rock,scissors,player
44,rock,scissors,player
45,rock,scissors,player
46,rock,scissors,player
47,scissors,paper,player
48,scissors,scissors,tie
49,rock,paper,computer
50,paper,scissors,computer
51,rock,paper,computer
52,rock,rock,tie
53,rock,paper,computer
54,scissors,paper,player
55,scissors,scissors,tie
56,paper,paper,tie
57,paper,paper,tie
58,scissors,paper,player
59,scissors,rock,computer
60,paper,paper,tie
61,rock,paper,computer
62,scissors,paper,player
63,scissors,rock,computer
64,paper,paper,tie
65,paper,paper,tie
66,scissors,paper,player
67,paper,rock,player
