Round Number,Player's Choice,Computer's Choice,Result
2,rock,rock,tie
3,paper,rock,player
4,paper,scissors,computer
5,rock,scissors,player
6,rock,scissors,player
7,rock,scissors,player
8,rock,paper,computer
9,scissors,paper,player
10,scissors,rock,computer
11,paper,rock,player
12,paper,rock,player
13,paper,paper,tie
14,rock,paper,computer
15,scissors,paper,player
16,scissors,rock,computer
17,paper,scissors,computer
18,scissors,scissors,tie
19,rock,rock,tie
20,scissors,rock,computer
21,paper,rock,player
22,paper,scissors,computer
23,rock,paper,computer
24,scissors,paper,player
25,scissors,rock,computer
26,paper,scissors,computer
27,rock,scissors,player
28,rock,rock,tie
29,rock,paper,computer
30,scissors,paper,player
31,scissors,rock,computer
32,paper,scissors,computer
33,rock,scissors,player
34,rock,paper,computer
35,paper,paper,tie
36,scissors,scissors,tie
37,paper,paper,tie
38,rock,scissors,player
39,rock,paper,computer
40,scissors,paper,player
41,paper,rock,player
42,rock,paper,computer
43,scissors,paper,player
44,scissors,rock,computer
45,paper,scissors,computer
46,scissors,paper,player
47,scissors,paper,player
48,scissors,scissors,tie
49,rock,scissors,player
50,rock,rock,tie
51,scissors,paper,player
52,paper,rock,player
53,rock,paper,computer
54,scissors,paper,player
55,paper,rock,player
56,rock,paper,computer
57,scissors,paper,player
