Round Number,Player's Choice,Computer's Choice,Result
2,rock,scissors,player
3,scissors,paper,player
4,rock,paper,computer
5,paper,paper,tie
6,rock,paper,computer
7,scissors,rock,computer
8,paper,paper,tie
9,paper,rock,player
10,rock,rock,tie
11,paper,rock,player
12,rock,paper,computer
13,paper,rock,player
14,paper,paper,tie
15,scissors,paper,player
16,rock,rock,tie
17,paper,scissors,computer
18,rock,paper,computer
19,scissors,scissors,tie
20,paper,paper,tie
21,rock,scissors,player
22,paper,rock,player
23,rock,paper,computer
24,scissors,scissors,tie
25,paper,scissors,computer
26,rock,scissors,player
27,rock,rock,tie
28,paper,scissors,computer
29,rock,paper,computer
30,scissors,rock,computer
31,paper,scissors,computer
32,rock,paper,computer
33,scissors,rock,computer
34,paper,scissors,computer
35,rock,paper,computer
36,scissors,rock,computer
37,rock,scissors,player
38,rock,scissors,player
39,rock,scissors,player
40,rock,scissors,player
41,paper,paper,tie
42,rock,paper,computer
43,scissors,rock,computer
44,rock,scissors,player
45,rock,scissors,player
46,rock,scissors,player
47,paper,paper,tie
48,rock,paper,computer
