Round Number,Player's Choice,Computer's Choice,Result
2,paper,rock,player
3,paper,scissors,computer
4,rock,rock,tie
5,scissors,scissors,tie
6,rock,rock,tie
7,paper,scissors,computer
8,rock,paper,computer
9,scissors,rock,computer
10,scissors,paper,player
11,scissors,scissors,tie
12,rock,rock,tie
13,paper,scissors,computer
14,scissors,paper,player
15,scissors,scissors,tie
16,rock,rock,tie
17,paper,scissors,computer
18,rock,paper,computer
19,scissors,rock,computer
20,rock,paper,computer
21,rock,scissors,player
22,rock,rock,tie
23,scissors,paper,player
24,scissors,paper,player
25,scissors,paper,player
26,paper,rock,player
27,rock,paper,computer
28,scissors,rock,computer
29,paper,paper,tie
30,rock,paper,computer
31,rock,rock,tie
32,scissors,paper,player
33,paper,paper,tie
34,rock,paper,computer
35,paper,rock,player
36,paper,paper,tie
37,rock,paper,computer
38,scissors,rock,computer
39,paper,paper,tie
40,scissors,paper,player
41,paper,rock,player
42,paper,paper,tie
43,rock,paper,computer
44,scissors,rock,computer
45,scissors,scissors,tie
46,rock,rock,tie
47,paper,scissors,computer
48,rock,paper,computer
49,scissors,rock,computer
